year,station_no,station_name,josha_num,ward_office,meijo,meiko,kamiida,higashiyama,tsurumai,sakuradori,tokaido,chuo,kansai,kintetsu,lines
1991,0,大曽根,4785428,0,1,1,,,,,,,,,2
1992,0,大曽根,4660204,0,1,1,,,,,,,,,2
1993,0,大曽根,4592223,0,1,1,,,,,,,,,2
1994,0,大曽根,4669642,0,1,1,,,,,,,,,2
1995,0,大曽根,4629653,0,1,1,,,,,,,,,2
1996,0,大曽根,4498914,0,1,1,,,,,,,,,2
1997,0,大曽根,4663364,0,1,1,,,,,,,,,2
1998,0,大曽根,4619636,0,1,1,,,,,,,,,2
1999,0,大曽根,4375248,0,1,1,,,,,,,,,2
2000,0,大曽根,3744964,0,1,1,,,,,,,,,2
2001,0,大曽根,4102394,0,1,1,,,,,,,,,2
2002,0,大曽根,4219703,0,1,1,,,,,,,,,2
2003,0,大曽根,4859742,0,1,1,,,,,,,,,2
2004,0,大曽根,5182003,0,1,1,,,,,,,,,2
2005,0,大曽根,5547024,0,1,1,,,,,,,,,2
2006,0,大曽根,5842120,0,1,1,,,,,,,,,2
2007,0,大曽根,6080285,0,1,1,,,,,,,,,2
2008,0,大曽根,6251626,0,1,1,,,,,,,,,2
2009,0,大曽根,6235527,0,1,1,,,,,,,,,2
2010,0,大曽根,6355136,0,1,1,,,,,,,,,2
2011,0,大曽根,6414885,0,1,1,,,,,,,,,2
2012,0,大曽根,6505159,0,1,1,,,,,,,,,2
2013,0,大曽根,6763018,0,1,1,,,,,,,,,2
2014,0,大曽根,6871223,0,1,1,,,,,,,,,2
2015,0,大曽根,7038731,0,1,1,,,,,,,,,2
1991,1,平安通,3320017,0,1,1,,,,,,,,,2
1992,1,平安通,3255846,0,1,1,,,,,,,,,2
1993,1,平安通,3217203,0,1,1,,,,,,,,,2
1994,1,平安通,3104134,0,1,1,,,,,,,,,2
1995,1,平安通,3076055,0,1,1,,,,,,,,,2
1996,1,平安通,2979080,0,1,1,,,,,,,,,2
1997,1,平安通,3012567,0,1,1,,,,,,,,,2
1998,1,平安通,2713127,0,1,1,,,,,,,,,2
1999,1,平安通,2606094,0,1,1,,,,,,,,,2
2000,1,平安通,2593170,0,1,1,,,,,,,,,2
2001,1,平安通,2793736,0,1,1,,,,,,,,,2
2002,1,平安通,2804406,0,1,1,,,,,,,,,2
2003,1,平安通,1884786,0,1,1,,,,,,,,,2
2004,1,平安通,1891029,0,1,1,,,,,,,,,2
2005,1,平安通,1965869,0,1,1,,,,,,,,,2
2006,1,平安通,1984609,0,1,1,,,,,,,,,2
2007,1,平安通,2020859,0,1,1,,,,,,,,,2
2008,1,平安通,1963009,0,1,1,,,,,,,,,2
2009,1,平安通,1926557,0,1,1,,,,,,,,,2
2010,1,平安通,1856632,0,1,1,,,,,,,,,2
2011,1,平安通,1882183,0,1,1,,,,,,,,,2
2012,1,平安通,1929362,0,1,1,,,,,,,,,2
2013,1,平安通,1974098,0,1,1,,,,,,,,,2
2014,1,平安通,1970719,0,1,1,,,,,,,,,2
2015,1,平安通,2025927,0,1,1,,,,,,,,,2
1991,2,志賀本通,2051206,0,1,1,,,,,,,,,2
1992,2,志賀本通,1997564,0,1,1,,,,,,,,,2
1993,2,志賀本通,1972771,0,1,1,,,,,,,,,2
